candidate_name,display_name,race,district,party,finance_type,total_raised
kristin tyra davis,Kristin Davis,Representative,145,Democratic,MCEA,1000.0
holly taylor sargent,Holly Sargent,Representative,147,Democratic,MCEA,900.0
valli d geiger,Valli Geiger,Representative,42,,MCEA,0
wayne k farrin,Wayne Farrin,Representative,47,Democratic,MCEA,1000.0
tom keefe,Thomas Keefe,Representative,59,,TF,0
gordon frohloff,Gordon Frohloff,Representative,142,,TF,0
kimberly m haggan,Kimberly Haggan,Representative,36,Republican,MCEA,1000.0
karen montell,Karen Montell,Representative,54,,MCEA,0
lisa cesare,Lisa Cesare,Representative,,,TF,0
elizabeth caruso,Elizabeth Caruso,Senator,5,Republican,MCEA,1440.0
glenn mower,Glenn Mower,Representative,,,TF,0
eryn soule,Eryn Soule,Senator,21,,MCEA,0
david g haggan,David Haggan,Senator,10,Republican,MCEA,3000.0
john reny,John Reny,Representative,59,Republican,MCEA,1250.0
harold hull,Harold Hull,Senator,2,Democratic,TF,50.0
stanley short jr,Stanley Short Jr.,Senator,3,,TF,0
billy bob faulkingham,Billy Faulkingham,Senator,6,Republican,TF,10010.0
benjamin midgley,Benjamin Midgley,Governor,,Republican,TF,295748.0
guy lebida,Guy Lebida,Representative,98,,TF,0
seven siegel,Seven Siegel,Representative,109,,MCEA,0
deane rykerson,Deane Rykerson,Senator,35,Democratic,MCEA,3186.0
andrew laverdiere,Andrew Laverdiere,Representative,21,Republican,TF,100.0
tammy schmersalburgess,Tammy Schmersal-Burgess,Representative,77,,MCEA,0
william r tuell,William Tuell,Representative,10,,MCEA,0
michael lemelin,Michael Lemelin,Representative,53,,TF,0
tavis hasenfus,Tavis Hasenfus,Representative,57,,TF,0
marc  edwards,Marc Edwards,Representative,74,,MCEA,0
matthew channing townsend,Matthew Townsend,Representative,67,Democratic,MCEA,1000.0
kelly dearborn,Kelly Dearborn,Representative,108,Republican,TF,10100.0
ernest fitts iv,Ernest Fitts IV,Representative,80,Republican,TF,1500.0
jonathan reed fallon,Jonathan Fallon,Senator,34,Republican,MCEA,3044.0
kati l mccormick,Kati McCormick,Senator,15,Republican,MCEA,1490.0
amanda heath,Amanda Heath,Senator,15,Democratic,MCEA,3030.0
shanna cox,Shanna Cox,Senator,21,Democratic,TF,12275.0
rachel talbot ross,Rachel Talbot Ross,Senator,28,,TF,0
ray thombs,Ray Thombs Jr.,Representative,44,,TF,0
scott craig,Scott Craig,Representative,,,MCEA,0
