"candidate","race","district","party","tot_con_per_cand","show_on_page","display_name","finance_type"
"julia a g mccabe","Representative",93,"Democratic",1170,"yes","Julia McCabe","MCEA"
"chad syphers","Representative",93,"Republican",0,"yes","Chad Syphers (dropped out)","TF"
"janet beaudoin","Representative",94,"Republican",3850,"yes","Janet Beaudoin","TF"
"scott a harriman","Representative",94,"Democratic",200,"yes","Scott Harriman","MCEA"
"kiernan innes majeruscollins","Representative",95,"Democratic",8201,"yes","Kiernan Majerus-Collins","TF"
"matthew kershaw","Representative",95,"Democratic",927.53,"yes","Matthew Kershaw (not on ballot)","MCEA"
"bret michael martel","Representative",95,"Republican",0,"yes","Bret Martel","TF"
"kerryl lee clement","Representative",96,"Republican",1000,"yes","Kerryl Clement","MCEA"
"luke jensen","Representative",96,"Democratic",85,"yes","Luke Jensen","MCEA"
"dale john crafts","Representative",97,"Republican",0,"yes","Dale Crafts","TF"
"thomas watson","Representative",97,"Democratic",0,"yes","Thomas Watson (dropped out)","MCEA"
"kilton mccarthy webb","Representative",98,"Democratic",1000,"yes","Kilton Webb","MCEA"
"william j st michel","Representative",98,"Republican",1000,"yes","William St. Michel","MCEA"
"guy m lebida","Representative",98,"Republican",500,"yes","Guy Lebida (not on ballot)","TF"
"braeden webber","Representative",99,"Republican",1000,"yes","Braeden Webber","MCEA"
"cheryl a golek","Representative",99,"Democratic",700,"yes","Cheryl Golek","MCEA"
"daniel joseph ankeles","Representative",100,"Democratic",0,"yes","Daniel Ankeles","MCEA"
"brett barrett","Representative",100,"Republican",0,"yes","Brett Barrett","TF"
"poppy t arford","Representative",101,"Democratic",658.32,"yes","Poppy Arford","MCEA"
"ravi jackson","Representative",101,"Republican",0,"yes","Ravi Jackson","TF"
"henry lawrence","Representative",102,"Republican",1450,"yes","Henry Lawrence III","TF"
"maura h pillsbury","Representative",102,"Democratic",1000,"yes","Maura Pillsbury","MCEA"
"karin orenstein","Representative",103,"Democratic",975,"yes","Karin Orenstein","MCEA"
"r melissa winslow","Representative",104,"Republican",11526.76,"yes","Melissa Winslow","TF"
"louis samuel pfeifle","Representative",104,"Unenrolled",900,"yes","Samuel Pfeifle (independent)","MCEA"
"anne p graham","Representative",105,"Democratic",600,"yes","Anne Graham","MCEA"
"susan fuller","Representative",105,"Republican",0,"yes","Susan Fuller (dropped out)","TF"
"barbara anne bagshaw","Representative",106,"Republican",1000,"yes","Barbara Bagshaw","MCEA"
"bradley youngs","Representative",106,"Democratic",990,"yes","Bradley Youngs","MCEA"
"joseph campbell","Representative",107,"Democratic",1145,"yes","Joseph Campbell","MCEA"
"mark c cooper","Representative",107,"Republican",690,"yes","Mark Cooper","MCEA"
"kelly dearborn","Representative",108,"Republican",10100,"yes","Kelly Dearborn","TF"
"parnell william terry","Representative",108,"Democratic",950,"yes","Parnell Terry","MCEA"
"diana kushnar","Representative",109,"Republican",6025,"yes","Diana Kushnar","TF"
"seven siegel","Representative",109,"Democratic",880,"yes","Seven Siegel","MCEA"
"jason lewis copp","Representative",110,"Republican",1600,"yes","Jason Copp","TF"
"christina rue cork mitchell","Representative",110,"Democratic",1000,"yes","Christina Mitchell","MCEA"
"amy d kuhn","Representative",111,"Democratic",950,"yes","Amy Kuhn","MCEA"
"sean mahoney","Representative",112,"Democratic",4075,"yes","Sean Mahoney","MCEA"
"lauren chelsea jones","Representative",112,"Republican",0,"yes","Lauren Jones","TF"
"grayson benjamin lookner","Representative",113,"Democratic",150,"yes","Grayson Lookner","MCEA"
"lisa nelthropp","Representative",113,"Republican",0,"yes","Lisa Nelthropp (dropped out)","TF"
"april fournier","Representative",114,"Democratic",1041,"yes","April Fournier","TF"
"andrew zarro","Representative",115,"Democratic",3715,"yes","Andrew Zarro","TF"
"samuel lewis zager","Representative",116,"Democratic",1000,"yes","Samuel Zager","MCEA"
"matthew moonen","Representative",117,"Democratic",750,"yes","Matthew Moonen","TF"
"yusuf muse yusuf","Representative",118,"Democratic",0,"yes","Yusuf Yusuf","TF"
"michael dixon","Representative",119,"Democratic",1532,"yes","Michael Dixon","MCEA"
"jacob murray wakem","Representative",119,"Republican",0,"yes","Jacob Wakem","TF"
"jason shedlock","Representative",120,"Democratic",39041,"yes","Jason Shedlock","TF"
"michael dougherty","Representative",120,"Republican",0,"yes","Michael Dougherty (dropped out)","TF"
"robert cameron","Representative",121,"Democratic",1050,"yes","Robert Cameron (dropped out)","TF"
"meagan smith","Representative",121,"Republican",0,"yes","Meagan Smith","MCEA"
"matthew d beck","Representative",122,"Democratic",100,"yes","Matthew Beck","TF"
"annie christy","Representative",123,"Republican",1800,"yes","Annie Christy (dropped out)","TF"
"michelle n boyer","Representative",123,"Democratic",0,"yes","Michelle Boyer","MCEA"
"eric nathanson","Representative",124,"Democratic",1060,"yes","Eric Nathanson","MCEA"
"mary shannon lindstrom","Representative",124,"Unenrolled",985,"yes","Mary Lindstrom (independent)","MCEA"
"scott doherty","Representative",124,"Republican",0,"yes","Scott Doherty","TF"
"kelly maureen noonan murphy","Representative",125,"Democratic",0,"yes","Kelly Murphy","TF"
"ethan mongue","Representative",126,"Republican",4325,"yes","Ethan Mongue","TF"
"andrew m gattine","Representative",126,"Democratic",2100,"yes","Andrew Gattine","TF"
"morgan j rielly","Representative",127,"Democratic",0,"yes","Morgan Rielly","TF"
"suzanne m salisbury","Representative",128,"Democratic",0,"yes","Suzanne Salisbury","MCEA"
"lawrence mcwilliams","Representative",128,"Unenrolled",0,"yes","Lawrence McWilliams (independent)","TF"
"marshall archer","Representative",129,"Democratic",360,"yes","Marshall Archer","TF"
"lynn holland copeland","Representative",130,"Democratic",900,"yes","Lynn Copeland","MCEA"
"todd michael davis","Representative",130,"Unenrolled",300,"yes","Todd Davis (independent)","MCEA"
"kenneth blow","Representative",131,"Unenrolled",5000,"yes","Kenneth Blow (independent)","TF"
"robert kelly","Representative",131,"Democratic",1000,"yes","Robert Kelly","MCEA"
"ryan m fecteau","Representative",132,"Democratic",140,"yes","Ryan Fecteau","TF"
"marc g malon ii","Representative",133,"Democratic",4835,"yes","Marc Malon II","TF"
"marc lessard","Representative",133,"Unenrolled",0,"yes","Marc Lessard (independent)","TF"
"allen anthony daggett","Representative",134,"Unenrolled",3600,"yes","Allen Daggett (independent)","TF"
"traci l gere","Representative",134,"Democratic",1275,"yes","Traci Gere","MCEA"
"rachel mary phipps","Representative",135,"Democratic",980,"yes","Rachel Phipps (not on ballot)","MCEA"
"lisa pratt","Representative",135,"Democratic",947,"yes","Lisa Pratt","MCEA"
"scott craig","Representative",135,"Unenrolled",700,"yes","Scott Craig (independent)","MCEA"
"john michael eder","Representative",136,"Republican",2850,"yes","John Eder","TF"
"michelle kathryn conners","Representative",136,"Democratic",0,"yes","Michelle Conners","MCEA"
"nathan m carlow","Representative",137,"Republican",2775,"yes","Nathan Carlow","TF"
"charles edward tilburg","Representative",137,"Democratic",945,"yes","Charles Tilburg","MCEA"
"jonathan l kinney","Representative",138,"Republican",2500,"yes","Jonathan Kinney","TF"
"oliver mcavoy","Representative",138,"Democratic",1045,"yes","Oliver McAvoy","MCEA"
"jamie k newton","Representative",139,"Republican",2555,"yes","Jamie Newton","TF"
"dean lepage","Representative",139,"Democratic",0,"yes","Dean LePage","MCEA"
"wayne parry","Representative",140,"Republican",6775,"yes","Wayne Parry","TF"
"kirstan watson","Representative",140,"Democratic",900,"yes","Kirstan Watson","MCEA"
"marc anthony boisse","Representative",141,"Republican",2472.72,"yes","Marc Boisse","TF"
"david roland mongeau ii","Representative",141,"Unenrolled",1000,"yes","David Mongeau II (independent)","MCEA"
"rebecca lynn flood andrews","Representative",141,"Democratic",1000,"yes","Rebecca Flood Andrews","MCEA"
"clinton phinney jr","Representative",141,"Republican",775,"yes","Clinton Phinney Jr. (not on ballot)","MCEA"
"ayn hanselmann","Representative",142,"Democratic",1160,"yes","Ayn Hanselmann","MCEA"
"gordon frohloff","Representative",142,"Republican",0,"yes","Gordon Frohloff (dropped out)","TF"
"eric h small","Representative",143,"Republican",2000,"yes","Eric Small (dropped out)","TF"
"john robert henkelman iii","Representative",143,"Democratic",1000,"yes","John Henkelman","MCEA"
"corinna cole","Representative",144,"Unenrolled",0,"yes","Corinna Cole (independent)","MCEA"
"jeff adams","Representative",144,"Republican",0,"yes","Jeffrey Adams (dropped out)","TF"
"kristin tyra davis","Representative",145,"Democratic",1000,"yes","Kristin Davis","MCEA"
"caleb joseph chase","Representative",145,"Republican",950,"yes","Caleb Chase","MCEA"
"bradley s moulton","Representative",146,"Republican",50,"yes","Bradley Moulton","MCEA"
"walter gerard jr runte","Representative",146,"Democratic",0,"yes","Walter Runte Jr.","MCEA"
"holly taylor sargent","Representative",147,"Democratic",900,"yes","Holly Sargent","MCEA"
"thomas arthur lavigne","Representative",148,"Republican",1000,"yes","Thomas Lavigne","TF"
