name,status,finance_type,url
Christopher Easton,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3
Brian Pellerin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6k52ejffds70zk9w06p6ad
Kevin Nichols,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6sz6asfe1t60m1q7x7f724
Suzanne Salisbury,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh557r74ff9a1be3rvmfrt2y
Jennifer Mayher,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est
Taylor West,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq
John Andrews,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758ntykfqfa
Kristen Marie Card,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gckednv4estvcs3yhc7
Elise S Brown,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpjm5bb4ty
Aaron Dana,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8bcwvpfxs9gnx7ds7v5h55
Nancy McDowell,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2
Sally Cluchey,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3
James Michael Michaud,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80080r9anc
James E Thorne,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq
Harold Stewart III,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp
Ryan Morgan,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvwzw38eqxa6ydzh7h9a9zf
Rebecca Stephens,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrpd8vxfecsb4csc0s0w8wq
Michelle Tucker,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjb5shgnfnvb532es240zj7j
Michael Dixon,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r
Joschka Winterling,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh51rj98e8rrxtx82jgfwax8
Joseph McLaughlin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjart9mffbwr2f7pn3twdfmp
Richard Bennett,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758p61wtfg5
Maura H Pillsbury,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j
Melanie Tompkins,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg37dfgfaet6redc3mab962
Wendy Caiazzo,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvxq0hke4ws7sgfqgektehp
Jonathan Bush,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qaprd8ent
"John Michael Glowa, Sr.",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rqcwhq2q
Robert B. Charles,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758ps9e4z21
David John Jones,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgpxwtedt
"Angus S. King, III",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgspj23sn
Michael Brayson,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhznfm2f7db6fcen2k3c0ak
James F. Dill,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3
Mana Hared Abdi,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg
