branch,district,candidate,finance_type,party
House,151,"Johnson, Suzanne",TF,R
House,151,"Mathieson, Kristi M.",MCEA,D
Senate,1,"Daigle, Lucien JB",MCEA,R
Senate,1,"Mclaughlin, Vaughn J.",MCEA,D
Senate,2,"Hull, Harold",TF,D
Senate,2,"Stewart, III, Harold",MCEA,R
Senate,3,"Costain, Danny E.",MCEA,R
Senate,3,"Short, Jr., Stanley",TF,D
Senate,3,"Stetkis, Joel R.",TF,R
Senate,4,"Guerin, Joseph Paul",TF,R
Senate,4,"Kalp, Lisa",MCEA,D
Senate,4,"Perkins, Chad Richard",TF,R
Senate,4,"Pierce, Gregory",TF,R
Senate,4,"Wood, Zachary Anders",MCEA,R
Senate,5,"Caruso, Elizabeth",MCEA,R
Senate,5,"Sullebarger, Robert Finch",MCEA,D
Senate,6,"Dana, Aaron",MCEA,U
Senate,6,"Davis, Kenneth",MCEA,R
Senate,6,"Faulkingham, Billy Bob",TF,R
Senate,7,"Grohoski, Nicole C.",MCEA,D
Senate,7,"Hewes, Cheryl",MCEA,R
Senate,8,"Kenney, Leo Christopher",MCEA,R
Senate,8,"Tipping, Michael",MCEA,D
Senate,9,"Carey, Stephen",MCEA,U
Senate,9,"Roeder, Amy J.",MCEA,D
Senate,10,"Haggan, David G.",MCEA,R
Senate,10,"O'Connell, Kevin",TF,D
Senate,11,"Curry, Glenn Chip",MCEA,D
Senate,11,"Otis, Ryan Christopher",MCEA,R
Senate,12,"Kallock, Nicole Lynn",TF,U
Senate,12,"Matlack, Ann Higgins",MCEA,D
Senate,13,"Mitchell, Edwin M.",MCEA,U
Senate,13,"Reny, Cameron",MCEA,D
Senate,14,"Hickman, Craig",TF,D
Senate,14,"McGee, Steven",TF,R
Senate,15,"Heath, Amanda Ann",MCEA,D
Senate,15,"McCormick, Kati L.",MCEA,R
Senate,16,"Cyrway, Scott W.",MCEA,R
Senate,16,"Moore, Patric",MCEA,D
Senate,17,"Keller, Jo-Jean C.",MCEA,D
Senate,17,"Mason, Richard G.",TF,R
Senate,18,"Andrews, John",TF,R
Senate,18,"Bosworth, Elizabeth D.",MCEA,D
Senate,19,"Martin, Joseph Edward",TF,R
Senate,19,"Southam,Peter J.",MCEA,D
Senate,20,"Bickford, Bruce",MCEA,R
Senate,20,"Scott, Michael R.",MCEA,D
Senate,21,"Abdi, Mana",TF,D
Senate,21,"Cox, Shanna",TF,D
Senate,21,"Soule, Eryn",MCEA,U
Senate,22,"Burnett, Nathan",MCEA,D
Senate,22,"Pomerleau, Kimberly J.",MCEA,R
Senate,23,"Daughtry, Matthea Elizabeth Larsen",TF,D
Senate,23,"Porter, Bernard Robert",TF,R
Senate,24,"Tepler, Denise",MCEA,D
Senate,25,"Pierce, Teresa S.",TF,D
Senate,25,"Read, James E. Jr.",TF,R
Senate,26,"Cianchette, Kenneth James",TF,R
Senate,26,"Nangle, Timothy E.",MCEA,D
Senate,26,"Violette, Peter G.",MCEA,R
Senate,27,"Duson, Jill C.",MCEA,D
Senate,28,"Doyle, Peter Ignatius",TF,R
Senate,28,"Talbot Ross, Rachel",TF,D
Senate,29,"Carney, Anne",TF,D
