filer_name,race,district,party
gino valeriani,Representative,80,Republican
trent vellella,Representative,49,Democratic
mark vigliotta,Senator,33,Democratic
peter g violette,Senator,26,Republican
jacob murray wakem,Representative,119,Republican
mark walker,Representative,84,Republican
sophia warren,Senator,30,Democratic
kirstan watson,Representative,140,Democratic
thomas watson,Representative,97,Democratic
anthony m weaver,Representative,25,Republican
kilton mccarthy webb,Representative,98,Democratic
braeden webber,Representative,99,Republican
paul welch,Representative,85,Democratic
robert j wessels,Governor,NA,Republican
taylor west,Representative,63,Democratic
margaret wheeler,Representative,148,Democratic
eric white,Representative,16,Republican
harry white,Senator,30,Republican
james lee white,Representative,30,Republican
russell p white,Representative,13,Republican
r melissa winslow,Representative,104,Republican
joschka winterling,Representative,23,Democratic
peter conley wood,Representative,81,Republican
stephen j wood,Representative,92,Republican
zachary anders wood,Senator,4,Republican
bradley youngs,Representative,106,Democratic
yusuf muse yusuf,Representative,118,Democratic
samuel lewis zager,Representative,116,Democratic
andrew zarro,Representative,115,Democratic
mark frederick zimmer,Representative,150,Republican
barbara ann cray,District Attorney,Prosecutorial District 6,Democratic
natasha c irving,District Attorney,Prosecutorial District 6,Democratic
paul titcomb davis sr,Unknown,NA,NA
dakota dupuis,Sheriff,NA,NA
