"filer_name","race","district","party","list"
"Melanie Fleming Sachs","Representative","102","Democratic","2024"
"John Murphy Salamone","Senator","32","Republican","2024"
"Suzanne M. Salisbury","Representative","128","Democratic","2024"
"Carlos Humberto Sanchez-Santos","Representative","40","Unenrolled","2024"
"Holly T. Sargent","Representative","147","Democratic","2024"
"Holly Taylor Sargent","Representative","147","Democratic","2024"
"Eleanor Yoko Sato","Representative","109","Democratic","2024"
"Daniel Sayre","Senator","34","Democratic","2024"
"Daniel R. Sayre","Representative","135","Democratic","2024"
"Tammy Schmersal-Burgess","Representative","77","Republican","2024"
"Tammy L. Schmersal-Burgess","Representative","77","Republican","2024"
"Alfred F. Schutz","Senator","32","Republican","2024"
"Alfred Frank Schutz","Senator","32","Republican","2024"
"Kevin Lee Scott","Representative","73","Republican","2024"
"Michael R. Scott","Senator","20","Democratic","2024"
"Nichole Sekera","Representative","82","Democratic","2024"
"Daniel Joseph Shagoury","Representative","55","Democratic","2024"
"Nirav Shah","Governor",NA,"Democratic","2024"
"Bettyann W Sheats","Senator","20","Democratic","2024"
"Emmett Shell","Representative","118","Democratic","2024"
"Steven Christopher Sheppard","Governor",NA,"Republican","2024"
"W. Louis Jr. Sidell","Representative","30","Democratic","2024"
"Seven Siegel","Representative","109","Democratic","2024"
"Abden Stephen Simmons","Representative","45","Republican","2024"
"DAVID A SINCLAIR","Representative","50","Democratic","2024"
"Theodore L Sirois","Representative","130","Republican","2024"
"Charles A. Skold","Representative","119","Democratic","2024"
"Eric H Small","Representative","143","Republican","2024"
"James Nelson Smith","Representative","145","Democratic","2024"
"Katrina J Smith","Representative","62","Republican","2024"
"Katrina J Smith","Representative","62","Republican","2024"
"Leslie E. Jr. Smith","Representative","126","Republican","2024"
"Zachary Smith","Representative","24","Democratic","2024"
"Kendil Elizabeth Snow-Black","Representative","94","Republican","2024"
"Michael Arthur Soboleski","Representative","73","Republican","2024"
"Cynthia J. Soma-Hernandez","Representative","72","Unenrolled","2024"
"James Sorcek","Representative","90","Republican","2024"
"Peter J. Southam","Senator","19","Democratic","2024"
"Heather Anne Sprague","Representative","43","Republican","2024"
"William J. St. Michel","Representative","98","Republican","2024"
"Kayla Amanda Sterling","Representative","125","Republican","2024"
"Corinne S. Sternlieb","Representative","7","Democratic","2024"
"Joel R Stetkis","Senator","3","Republican","2024"
"Harold 'Trey' L. III Stewart","Senator","2","Republican","2024"
"Harold III Stewart","Senator","2","Republican","2024"
"Jacob T. Stoddard","Representative","129","Republican","2024"
"Jennifer Stone","Representative","45","Democratic","2024"
"Holly Beth Stover","Representative","48","Democratic","2024"
"Gordon Powell Street","Representative","28","Democratic","2024"
"Colleen D Strickler","Representative","104","Democratic","2024"
"Tiffany Strout","Representative","11","Republican","2024"
"Tiffany Strout","Representative","11","Republican","2024"
"Robert Finch Sullebarger","Senator","5","Democratic","2024"
"Laura Danielle Supica","Representative","22","Democratic","2024"
"Gregory L. Swallow","Representative","7","Republican","2024"
"Pamela Jo Swift","Representative","62","Democratic","2024"
"Pamela Jo Swift","Representative","62","Democratic","2024"
"Rachel Talbot Ross","Senator","28","Democratic","2024"
"Denise Tepler","Senator","24","Democratic","2024"
"Denise Tepler","Senator","24","Democratic","2024"
"Parnell Terry","Representative","108","Democratic","2024"
"Parnell William Terry","Representative","108","Democratic","2024"
"Christopher Thacker","Representative","101","Republican","2024"
"Austin Theriault","Representative","1","Republican","2024"
"Nancy Jean Theriault","Representative","29","Republican","2024"
"Douglas A. Thomas","Representative","72","Republican","2024"
"Ray Alden Jr. Thombs","Representative","44","Republican","2024"
"James E Thorne","Representative","35","Republican","2024"
"James Ernest Thorne","Representative","35","Republican","2024"
"Charles Edward Tilburg","Representative","137","Democratic","2024"
"Jeff Timberlake","Senator","17","Republican","2024"
"Michael Tipping","Senator","8","Democratic","2024"
"Michael Tipping","Senator","8","Democratic","2024"
"Melanie Ann Tompkins","Representative","6","Democratic","2024"
"Andrew R. Torbett","Representative","31","Republican","2024"
"Richard R Tory","Representative","69","Democratic","2024"
"Matthew Channing Townsend","Representative","67","Democratic","2024"
"Matthew Channing Townsend","Representative","67","Democratic","2024"
"LEE A. Trahan","Representative","63","Democratic","2024"
"Michelle Marie Tucker","Representative","89","Republican","2024"
"William R Tuell","Representative","10","Republican","2024"
"William R Tuell","Representative","10","Republican","2024"
"Judith Elaine Tunkle","Representative","53","Democratic","2024"
"Joseph Frederick Underwood","Representative","5","Republican","2024"
"Joseph Edwards Velozo","Representative","96","Republican","2024"
"Peter G. Violette","Senator","26","Republican","2024"
"Patricia von Schaumburg","Representative","122","Republican","2024"
"Nathan J Wadsworth","Representative","82","Republican","2024"
"Jacob Murray Wakem","Representative","114","Republican","2024"
"Mark Walker","Representative","84","Republican","2024"
"Tammy B. Walter","Representative","121","Republican","2024"
"Dustin Reginald Ward","Senator","20","Unenrolled","2024"
"Sophia Bailey Warren","Representative","124","Democratic","2024"
"Thomas Riley Watson","Senator","17","Democratic","2024"
"Kilton McCarthy Webb","Representative","98","Democratic","2024"
"Kilton McCarthy Webb","Representative","98","Democratic","2024"
"Robert J. Wessels","Governor",NA,"Republican","2024"
"Bruce A White","Representative","65","Democratic","2024"
"James Lee White","Representative","30","Republican","2024"
"James Lee White","Representative","30","Republican","2024"
"Nathan White","Representative","78","Republican","2024"
"Nathaniel John White","Senator","16","Democratic","2024"
"Russell P. White","Representative","13","Republican","2024"
"Russell Patrick White","Representative","13","Republican","2024"
"Brendan Kernan Williams","Representative","122","Unenrolled","2024"
"Lynne Anita Williams","Representative","14","Democratic","2024"
"Scott Douglas Williams","Representative","54","Republican","2024"
"R. Melissa Winslow","Representative","104","Republican","2024"
"Paul David Witten","Representative","89","Republican","2024"
"Steven Alan Wolejko","Representative","112","Republican","2024"
"Peter Conley Wood","Representative","81","Republican","2024"
"Stephen J. Wood","Representative","92","Republican","2024"
"Zachary Anders Wood","Senator","4","Republican","2024"
"David C. Woodsome","Representative","139","Republican","2024"
"J. Mark Worth","Representative","13","Democratic","2024"
"Shelby D Wright","Representative","36","Unenrolled","2024"
"Zachary T. Wyles","Representative","26","Republican","2024"
"Laurie Elaine York","Representative","29","Democratic","2024"
"Bradley Youngs","Representative","106","Democratic","2024"
"Yusuf Muse Yusuf","Representative","118","Democratic","2024"
"Samuel Lewis Zager","Representative","116","Democratic","2024"
"Samuel Lewis Zager","Representative","116","Democratic","2024"
"Andrew Zarro","Representative","115","Democratic","2024"
"Mark F. Zimmer","Representative","150","Republican","2024"
"Mark Frederick Zimmer","Representative","150","Republican","2024"
